name,slug,agency,type,deadline_text
A Vibrant Future,a-vibrant-future,International Fresh Produce Association,Grant,-
ACRE3 Agricultural Energy Efficiency,agee,Colorado Department of Agriculture (CDA),Grant,-
ACRE3 Irrigation Hydropower Programs,irrigation-hydro,Colorado Department of Agriculture (CDA),Loan,-
AGriCapture Climate-Friendly Rice,agricapture-climate-friendly-rice,AgriCapture,"Grant, Climate-Smart",Closed Apr 14
AgWest New Producer Grant,agwest-farm-credit,AgWest Farm Credit,Grant,Closed May 31
Agricultural Conservation Easement Program: Agricultural Land Easements (ACEP-ALE),acep-ale,Natural Resources Conservation Service (NRCS),Easement,-
Agricultural Conservation Easement Program: Wetland Reserve Easements,acep-wre,Natural Resources Conservation Service (NRCS),Easement,-
Agricultural Leadership Development Initiative,aldi,Future Harvest,Education,Closed Jan 21
Agricultural Loan Guarantee Program,alg,Texas Agricultural Finance Authority (TAFA),Loan,-
Agricultural Management Assistance (AMA),ama,Natural Resources Conservation Service (NRCS),Grant,-
Agricultural Replacement Measures for Emission Reductions Program (FARMER),carb-farmer,California Air Resources Board (CARB),Grant,-
Agriculture Risk Coverage and Price Loss Coverage Programs (ARC/PLC),arc-plc,Farm Service Agency (FSA),Insurance,Closed Apr 15
Agriculture and Aquaculture Producers Emergency Loan Program,agriculture-and-aquaculture-producers-natural-disaster-recovery-loan-program,Florida Department of Agriculture and Consumer Services (FDACS),Loan,-
Agriculture and Food Research Initiative - Foundational and Applied Science Program,agriculture-and-food-research-initiative-foundational-and-applied-science-program,National Institute of Food and Agriculture (NIFA),Grant,Due Dec 31
Air Quality Initiative (NAQI),NAQI,Natural Resources Conservation Service (NRCS),Grant,-
Amber Grant for Women,amber-grant-for-women,WomensNet,Grant,Closed Jul 31
Arizona Friends of the Farm Program,az-fotf,Arizona Food Bank Network,Local Food,-
Arizona Specialty Crop Block Grant Program,az-scbgp,Arizona Department of Agriculture (ADA),Grant,Closed Mar 6
Beef Producer Economic Resilience Initiative,producer-led-collaborative-effort-to-fundamentally-transition-the-us-beef-supply-chain-to-carbon-neutral,American Farmland Trust (AFT),Grant,-
Beginning Farmers and Ranchers Loans,beginning-farmers-and-ranchers-loans,Farm Service Agency (FSA),Loan,-
Bird Returns Wetlands,bird-returns-wetlands,Ducks Unlimited,Easement,Closed May 26
BirdReturns Sandhill Crane Program,BirdReturn-Sandhill-Crane-Program,The Migratory Bird Conservation Partnership (MBCP),Grant,Closed Aug 1
Black Farmer Fund,black-farmer-fund,Black Farmer Fund,Grant,-
Black Farmer Fund Rapid Response Program,bff-rapid-response-program,Black Farmer Fund,Grant,-
