slug,name,agency,type,url,status,last_updated,listing_deadline,deadline_raw,amount,eligibility,source_quality,source_domain,C1,C2,C3,C4,C5,total,note
a-vibrant-future,A Vibrant Future,International Fresh Produce Association,Grant,https://ambrook.com/funding/a-vibrant-future,OK,2026-07-23,-,ABSENT,"$28,000 maximum yearly payment",EXPLICIT,SPECIFIC,freshproduce.com,3,2,3,3,3,14,
agee,ACRE3 Agricultural Energy Efficiency,Colorado Department of Agriculture (CDA),Grant,https://ambrook.com/funding/agee,OK,2026-07-23,-,ABSENT,"$250,000",EXPLICIT,SPECIFIC,energyoffice.colorado.gov,3,2,3,3,3,14,
irrigation-hydro,ACRE3 Irrigation Hydropower Programs,Colorado Department of Agriculture (CDA),Loan,https://ambrook.com/funding/irrigation-hydro,OK,2026-07-23,-,ABSENT,"up to 25% not to exceed $25,000",PROSE,SPECIFIC,ag.colorado.gov,3,2,3,3,2,13,eligibility only in linked PDFs
agricapture-climate-friendly-rice,AGriCapture Climate-Friendly Rice,AgriCapture,"Grant, Climate-Smart",https://ambrook.com/funding/agricapture-climate-friendly-rice,OK,2026-07-23,Closed Apr 14,"Closed April 14, 2025","$7,500,000 total",PROSE,SPECIFIC,agricapture.com,3,3,3,3,2,14,no per-award cap; PCSC cancelled
agwest-farm-credit,AgWest New Producer Grant,AgWest Farm Credit,Grant,https://ambrook.com/funding/agwest-farm-credit,OK,2026-01-19,Closed May 31,"Closed May 31, 2025","$15,000",EXPLICIT,SPECIFIC,agwestfc.com,3,3,3,3,3,15,
acep-ale,Agricultural Conservation Easement Program: Agricultural Land Easements (ACEP-ALE),Natural Resources Conservation Service (NRCS),Easement,https://ambrook.com/funding/acep-ale,OK,2026-07-28,-,ABSENT,up to 50% of fair market value,EXPLICIT,GENERIC,nrcs.usda.gov,3,2,2,2,3,12,links to forms/office locator only
acep-wre,Agricultural Conservation Easement Program: Wetland Reserve Easements,Natural Resources Conservation Service (NRCS),Easement,https://ambrook.com/funding/acep-wre,OK,2026-07-23,-,ABSENT,100% permanent; 50-75% term,EXPLICIT,SPECIFIC,nrcs.usda.gov,3,2,3,2,3,13,percentage with no dollar cap
aldi,Agricultural Leadership Development Initiative,Future Harvest,Education,https://ambrook.com/funding/aldi,OK,2025-05-28,Closed Jan 21,"Deadline January 25, 2025",ABSENT,PROSE,NONE,ABSENT,2,1,1,1,2,7,deadline passed not marked closed; listing says Jan 21 page says Jan 25 2025
alg,Agricultural Loan Guarantee Program,Texas Agricultural Finance Authority (TAFA),Loan,https://ambrook.com/funding/alg,OK,2025-10-03,-,ABSENT,"$500,000 or 80% of loan",EXPLICIT,SPECIFIC,texasagriculture.gov,3,2,3,3,3,14,
ama,Agricultural Management Assistance (AMA),Natural Resources Conservation Service (NRCS),Grant,https://ambrook.com/funding/ama,OK,2026-07-23,-,ABSENT,"up to 75%, $50,000 per participant",EXPLICIT,GENERIC,offices.sc.egov.usda.gov,3,2,2,3,3,13,only source is NRCS office locator
carb-farmer,Agricultural Replacement Measures for Emission Reductions Program (FARMER),California Air Resources Board (CARB),Grant,https://ambrook.com/funding/carb-farmer,OK,2026-07-23,-,ABSENT,ABSENT,PROSE,SPECIFIC,ww2.arb.ca.gov,3,2,3,1,2,11,no funding amount
arc-plc,Agriculture Risk Coverage and Price Loss Coverage Programs (ARC/PLC),Farm Service Agency (FSA),Insurance,https://ambrook.com/funding/arc-plc,OK,2026-07-23,Closed Apr 15,"Closed April 15, 2025",ABSENT,PROSE,SPECIFIC,fsa.usda.gov,3,3,3,1,2,12,no funding amount
agriculture-and-aquaculture-producers-natural-disaster-recovery-loan-program,Agriculture and Aquaculture Producers Emergency Loan Program,Florida Department of Agriculture and Consumer Services (FDACS),Loan,https://ambrook.com/funding/agriculture-and-aquaculture-producers-natural-disaster-recovery-loan-program,OK,2026-07-23,-,up to one year after declared emergency,"$500,000",EXPLICIT,SPECIFIC,fdacs.gov,3,3,3,3,3,15,
agriculture-and-food-research-initiative-foundational-and-applied-science-program,Agriculture and Food Research Initiative - Foundational and Applied Science Program,National Institute of Food and Agriculture (NIFA),Grant,https://ambrook.com/funding/agriculture-and-food-research-initiative-foundational-and-applied-science-program,OK,2026-07-23,Due Dec 31,"Due December 31, 2026","$10,000,000",EXPLICIT,SPECIFIC,nifa.usda.gov,3,3,3,3,3,15,
NAQI,Air Quality Initiative (NAQI),Natural Resources Conservation Service (NRCS),Grant,https://ambrook.com/funding/NAQI,OK,2026-07-23,-,accepted throughout the year,ABSENT,EXPLICIT,SPECIFIC,nrcs.usda.gov,3,3,3,1,3,13,no funding amount
amber-grant-for-women,Amber Grant for Women,WomensNet,Grant,https://ambrook.com/funding/amber-grant-for-women,OK,2026-07-23,Closed Jul 31,"Due July 31, 2026","$50,000",EXPLICIT,SPECIFIC,ambergrantsforwomen.com,3,1,3,3,3,13,Due date passed 6 days ago still shown open
az-fotf,Arizona Friends of the Farm Program,Arizona Food Bank Network,Local Food,https://ambrook.com/funding/az-fotf,OK,2026-07-23,-,Term deadlines Mar 30 2026 and Sep 30 2026,"$35,000 per term",EXPLICIT,SPECIFIC,azfoodbanks.org,3,3,3,3,3,15,
az-scbgp,Arizona Specialty Crop Block Grant Program,Arizona Department of Agriculture (ADA),Grant,https://ambrook.com/funding/az-scbgp,OK,2026-02-11,Closed Mar 6,"Closed March 6, 2026",ABSENT,PROSE,SPECIFIC,agriculture.az.gov,3,3,3,1,2,12,no award amount
producer-led-collaborative-effort-to-fundamentally-transition-the-us-beef-supply-chain-to-carbon-neutral,Beef Producer Economic Resilience Initiative,American Farmland Trust (AFT),Grant,https://ambrook.com/funding/producer-led-collaborative-effort-to-fundamentally-transition-the-us-beef-supply-chain-to-carbon-neutral,OK,2026-07-31,-,ABSENT,"$42,000,000 total",PROSE,GENERIC,forms.office.com,3,2,2,3,2,12,only link is a Microsoft Form
beginning-farmers-and-ranchers-loans,Beginning Farmers and Ranchers Loans,Farm Service Agency (FSA),Loan,https://ambrook.com/funding/beginning-farmers-and-ranchers-loans,OK,2026-07-23,-,ABSENT,"$600,000 total",EXPLICIT,SPECIFIC,fsa.usda.gov,3,2,3,3,3,14,
bird-returns-wetlands,Bird Returns Wetlands,Ducks Unlimited,Easement,https://ambrook.com/funding/bird-returns-wetlands,OK,2025-05-06,Closed May 26,"Closed May 26, 2025",ABSENT,EXPLICIT,NONE,ABSENT,2,3,1,1,3,10,no outbound source link
BirdReturn-Sandhill-Crane-Program,BirdReturns Sandhill Crane Program,The Migratory Bird Conservation Partnership (MBCP),Grant,https://ambrook.com/funding/BirdReturn-Sandhill-Crane-Program,OK,2026-07-23,Closed Aug 1,"Closed August 1, 2025","$830,000 total",ABSENT,SPECIFIC,birdreturns.org,3,3,3,3,1,13,no eligibility information
black-farmer-fund,Black Farmer Fund,Black Farmer Fund,Grant,https://ambrook.com/funding/black-farmer-fund,OK,2025-10-27,-,ABSENT,ABSENT,PROSE,NONE,ABSENT,3,2,1,1,2,9,no source link and no funding amount
bff-rapid-response-program,Black Farmer Fund Rapid Response Program,Black Farmer Fund,Grant,https://ambrook.com/funding/bff-rapid-response-program,OK,2026-07-23,-,"Applications Open: January, April, July, October","$10,000",EXPLICIT,GENERIC,docs.google.com,3,3,2,3,3,14,only links are Google Forms
braiding-seeds-fellowship,Braiding Seeds Fellowship,Soul Fire Farm,Grant,https://ambrook.com/funding/braiding-seeds-fellowship,OK,2026-07-23,Closed Oct 15,"Closed October 15, 2025","$50,000",EXPLICIT,SPECIFIC,soulfirefarm.org,3,3,3,3,3,15,
building-markets-and-resiliency,Building Markets and Resiliency,North Jersey RC&D Area,Grant,https://ambrook.com/funding/building-markets-and-resiliency,OK,2026-07-23,Closed Dec 31,"Closed December 31, 2023","up to $85,000/producer",EXPLICIT,SPECIFIC,northjerseyrcd.org,3,1,3,3,3,13,status contradicts body saying program restarted January 2026
